benchmark,kernel_cpu_millis,user_cpu_millis,wall_clock_millis
ls /dev,0,0,1.802758
ls /etc,0,0,2.103584
ls /etc,0,0,1.775138
ls /dev,10,0,1.862742
ls /dev,0,0,1.938374
ls /dev,0,0,2.007452
ls /dev,0,0,1.8961189999999999
ls /etc,0,0,2.6608769999999997
ls /etc,0,0,1.858109
ls /etc,0,10,1.9788420000000002
ls /dev,0,0,2.0518799999999997
ls /etc,0,0,1.8858110000000001
ls /etc,10,0,1.902118
ls /etc,0,0,1.8653700000000002
ls /dev,0,0,1.977243
ls /etc,0,0,2.077323
ls /etc,0,0,2.31245
ls /etc,0,0,1.877494
ls /dev,10,0,1.857623
ls /dev,0,0,1.90811
ls /etc,0,0,2.155131
ls /dev,0,0,1.900448
ls /dev,0,0,1.850807
ls /dev,0,0,2.122552
ls /dev,0,0,2.129171
ls /etc,0,10,3.138404
ls /etc,0,0,1.935006
ls /dev,0,0,1.826424
ls /dev,0,0,2.00633
ls /etc,0,0,1.9592680000000002
ls /etc,10,0,2.1180499999999998
ls /etc,0,0,1.975971
ls /dev,0,10,2.145006
ls /dev,0,0,2.5870770000000003
ls /etc,0,0,1.928151
ls /etc,0,0,1.851755
ls /dev,0,0,1.9902330000000001
ls /dev,0,0,1.77183
ls /dev,0,0,1.827432
ls /dev,0,0,1.797498
ls /dev,0,0,2.010145
ls /etc,10,0,2.634067
ls /etc,0,0,2.7392309999999997
ls /dev,0,10,2.0563119999999997
ls /etc,0,0,2.104856
ls /etc,0,0,1.9196529999999998
ls /etc,0,0,2.3994910000000003
ls /etc,0,0,2.687016
ls /etc,10,0,3.358603
ls /dev,0,0,4.060953
ls /dev,0,10,4.232411
ls /dev,0,0,2.948817
ls /dev,0,0,2.289289
ls /etc,0,0,2.2756640000000004
ls /dev,0,0,3.2378289999999996
ls /dev,0,0,2.870348
ls /etc,10,0,2.7507
ls /etc,0,0,2.1510309999999997
ls /dev,0,0,1.889371
ls /dev,0,10,2.164108
ls /dev,0,0,1.9846389999999998
ls /etc,0,0,1.954018
ls /etc,0,0,2.447993
ls /dev,10,0,2.1466290000000003
ls /etc,0,0,1.9990400000000002
ls /etc,0,0,2.089306
ls /dev,0,0,2.159777
ls /etc,0,0,1.934755
ls /etc,0,0,2.108584
ls /dev,0,0,1.8727850000000001
ls /dev,0,0,1.80553
ls /etc,0,0,1.8686639999999999
ls /etc,0,10,2.284014
ls /etc,0,0,1.817885
ls /dev,10,0,1.984439
ls /dev,0,0,2.029343
ls /dev,0,0,2.011025
ls /dev,0,0,2.093232
ls /etc,0,0,2.055391
ls /etc,0,0,1.94658
ls /dev,0,0,2.139624
ls /etc,10,0,2.040498
ls /etc,0,0,2.0590360000000003
ls /etc,0,0,2.153304
ls /dev,0,0,2.48934
ls /dev,0,0,3.15516
ls /etc,10,0,2.69019
ls /etc,0,0,2.1665170000000002
ls /etc,0,10,1.963781
ls /dev,0,0,1.977038
ls /dev,0,0,2.264738
ls /etc,0,0,2.100013
ls /etc,10,0,1.9534930000000001
ls /dev,0,0,2.101354
ls /dev,0,0,2.06324
ls /etc,0,0,2.0530969999999997
ls /dev,0,0,2.0582209999999996
ls /etc,0,0,2.397638
ls /dev,0,0,2.490046
ls /dev,0,0,3.165292
ls /dev,0,10,3.2898300000000003
ls /etc,0,0,2.368754
ls /etc,10,0,2.280701
ls /etc,0,0,2.594024
ls /etc,0,0,3.6368910000000003
ls /etc,0,0,2.829079
ls /etc,0,0,2.373882
ls /etc,0,0,2.044323
ls /etc,0,0,1.9829499999999998
ls /dev,10,0,2.172952
ls /etc,0,10,3.130057
ls /dev,0,0,2.988089
ls /dev,0,0,2.7843590000000003
ls /dev,0,0,2.5770939999999998
ls /dev,0,0,1.9919
ls /dev,10,0,2.1667520000000002
ls /etc,0,0,2.527765
ls /dev,0,0,3.052617
ls /dev,0,0,3.303851
ls /etc,0,0,3.610776
ls /etc,0,0,2.6694050000000002
ls /dev,10,0,2.039796
ls /etc,0,0,1.827698
ls /dev,0,10,1.890955
ls /etc,0,0,2.120478
ls /etc,0,0,2.043522
ls /etc,0,0,2.431916
ls /dev,10,0,2.051626
ls /etc,0,0,2.073372
ls /etc,0,0,2.008962
ls /dev,0,0,1.892576
ls /dev,0,0,1.9711300000000003
ls /etc,0,0,2.258435
ls /etc,10,0,2.514455
ls /etc,0,0,2.329477
ls /dev,0,0,2.181874
ls /etc,0,0,1.8629289999999998
ls /etc,0,0,1.7853890000000001
ls /dev,0,0,1.88401
ls /etc,0,0,1.886353
ls /dev,0,0,2.2832429999999997
ls /dev,10,0,3.2991740000000003
ls /etc,0,0,2.280856
ls /dev,0,0,1.9797399999999998
ls /dev,0,0,1.915688
ls /etc,0,10,2.093938
ls /etc,0,0,2.051558
ls /dev,0,0,1.9402490000000001
ls /dev,10,0,1.9453610000000001
ls /etc,0,0,1.8492199999999999
ls /dev,0,0,2.368958
ls /dev,0,0,2.105534
ls /etc,0,0,1.909869
ls /dev,0,0,2.238591
ls /dev,0,0,2.0771539999999997
ls /etc,0,0,2.261098
ls /etc,0,0,1.994039
ls /etc,10,0,2.072974
ls /etc,0,0,2.544665
ls /etc,0,0,2.20009
ls /dev,0,10,2.6100440000000003
ls /dev,0,0,3.3114350000000004
ls /etc,0,0,3.3959189999999997
ls /etc,0,0,3.97081
ls /dev,10,0,2.754941
ls /dev,0,0,1.917636
ls /dev,0,0,1.944715
ls /dev,0,0,1.923685
ls /etc,0,0,2.0645860000000003
ls /etc,0,0,1.844107
ls /dev,10,0,2.012499
ls /dev,0,10,2.0575989999999997
ls /dev,0,0,1.855459
ls /etc,0,0,2.2710719999999998
ls /dev,0,0,1.933978
ls /dev,0,0,1.9385620000000001
ls /etc,0,0,1.960243
ls /dev,0,0,2.001917
ls /dev,10,0,2.066965
ls /etc,0,0,2.173637
ls /etc,0,0,2.4276020000000003
ls /dev,0,0,2.225244
ls /dev,0,0,2.025027
ls /etc,0,0,2.156716
ls /dev,10,0,1.942936
ls /etc,0,0,1.856674
ls /etc,0,0,1.8935689999999998
ls /etc,0,0,1.9778
ls /etc,0,0,2.123317
ls /dev,0,0,2.105841
ls /dev,10,0,2.4612879999999997
ls /dev,0,0,1.8648950000000002
ls /dev,0,0,1.9676
ls /dev,0,0,1.950453
ls /etc,0,0,1.9429130000000001
ls /etc,0,10,1.8246040000000001
ls /dev,0,0,2.05972
ls /dev,0,0,2.0591250000000003
ls /dev,10,0,2.484238
ls /etc,0,0,1.989732
ls /etc,0,0,1.933794
ls /dev,0,0,1.9896330000000002
ls /dev,0,0,2.244436
ls /dev,0,0,2.1223409999999996
ls /dev,0,0,2.328438
ls /dev,10,0,2.519546
ls /etc,0,0,2.243902
ls /dev,0,0,2.100153
ls /dev,0,0,2.0701169999999998
ls /etc,0,0,1.936657
ls /etc,0,10,1.959265
ls /dev,0,0,1.9770489999999998
ls /etc,0,0,2.0557980000000002
ls /dev,0,0,1.929381
ls /etc,10,0,2.095691
ls /dev,0,0,2.888851
ls /dev,0,0,2.59625
ls /etc,0,0,2.071828
ls /etc,0,0,1.785881
ls /etc,0,0,1.963648
ls /dev,0,0,1.78851
ls /dev,10,0,1.9463830000000002
ls /etc,0,0,1.798829
ls /etc,0,0,2.049632
ls /dev,0,0,2.3142679999999998
ls /dev,0,0,2.141446
ls /dev,0,10,1.9510770000000002
ls /dev,0,0,2.2535279999999998
ls /etc,10,0,1.8568129999999998
ls /etc,0,0,1.975381
ls /etc,0,0,2.30809
ls /dev,0,0,2.574909
ls /dev,0,0,3.996424
ls /etc,0,0,2.8329470000000003
ls /etc,0,0,2.221144
ls /dev,10,0,1.988322
ls /etc,0,0,2.119792
ls /etc,0,0,2.471447
ls /dev,0,0,1.900797
ls /dev,0,0,2.2114570000000002
ls /etc,10,0,2.298492
ls /dev,0,0,2.1558010000000003
ls /etc,0,10,1.848567
ls /dev,0,0,1.851251
ls /dev,0,0,2.124429
ls /etc,0,0,2.01907
ls /etc,0,0,2.006578
ls /dev,0,0,2.359758
ls /dev,10,0,2.69724
ls /etc,0,0,2.821996
ls /dev,0,0,3.379244
ls /etc,0,0,2.715834
ls /etc,10,0,2.441496
